frame_index,hand_index,fingertip_id,x,y
0,0,4,820.664025247097,223.26368391513824
0,0,8,776.9027310609818,124.61288422346115
0,0,12,752.5772279500961,129.62695509195328
0,0,16,709.5264855027199,126.09436213970184
0,0,20,648.3939132094383,158.88700187206268
1,0,4,820.7208293676376,220.51251530647278
1,0,8,776.2125776708126,124.37570840120316
1,0,12,752.3678530752659,128.19049656391144
1,0,16,705.9998500347137,122.37198054790497
1,0,20,648.3107635378838,158.85077565908432
2,0,4,821.0389769077301,220.09834945201874
2,0,8,778.3562384545803,122.36604541540146
2,0,12,755.6791108846664,129.1087731719017
2,0,16,707.5298929214478,123.38235080242157
2,0,20,648.2776370644569,160.10788679122925
3,0,4,821.9814695417881,219.4287121295929
3,0,8,775.9654630720615,121.09573930501938
3,0,12,754.0963768959045,128.15169394016266
3,0,16,708.6006672680378,122.7553442120552
3,0,20,647.6377291977406,158.8823914527893
4,0,4,822.8931701183319,219.05251443386078
4,0,8,774.9697235226631,119.66686397790909
4,0,12,754.5956639945507,128.278449177742
4,0,16,708.2263825833797,122.0136821269989
4,0,20,647.6320043206215,158.80852043628693
5,0,4,822.365814447403,218.73677372932434
5,0,8,774.3752256035805,118.58068257570267
5,0,12,754.0818701684475,128.1412735581398
5,0,16,708.4060770273209,122.35446721315384
5,0,20,648.4535519778728,158.74961763620377
6,0,4,823.3783395588398,217.7558183670044
6,0,8,774.3133635818958,118.05290430784225
6,0,12,754.1126622259617,128.57209742069244
6,0,16,708.1786938011646,121.54040485620499
6,0,20,648.6726535856724,157.92910903692245
7,0,4,822.6977461576462,217.7597612142563
7,0,8,773.855651319027,117.55816042423248
7,0,12,754.1628521680832,127.22764909267426
7,0,16,707.6442793011665,122.91575968265533
7,0,20,649.3675869703293,158.53547304868698
8,0,4,823.2444997131824,217.27051436901093
8,0,8,773.2639880478382,117.48213022947311
8,0,12,754.9523849785328,128.3892348408699
8,0,16,708.3104215562344,123.59989583492279
8,0,20,648.2251127064228,158.8114932179451
9,0,4,823.7147733569145,216.65601432323456
9,0,8,774.1533449292183,117.54857450723648
9,0,12,755.3467345237732,127.48984843492508
9,0,16,708.1206668913364,121.61080241203308
9,0,20,649.5132656395435,158.99604558944702
10,0,4,823.0981540679932,217.68914461135864
10,0,8,772.2322873771191,118.01607310771942
10,0,12,755.2106158435345,127.75808721780777
10,0,16,708.0010002851486,122.62448966503143
10,0,20,648.0489754676819,159.5010742545128
11,0,4,823.4858894348145,218.10180842876434
11,0,8,772.8945945203304,118.9098060131073
11,0,12,756.1374345421791,127.35949456691742
11,0,16,708.1327280402184,123.2998326420784
11,0,20,648.6302450299263,159.4089388847351
12,0,4,823.490836173296,217.72216856479645
12,0,8,773.024321347475,120.11571228504181
12,0,12,756.5567956864834,127.20543146133423
12,0,16,709.3685233592987,123.53480756282806
12,0,20,649.6415473520756,160.61444878578186
13,0,4,823.6740878224373,216.8895184993744
13,0,8,773.2718805968761,120.6634446978569
13,0,12,756.7750079929829,125.89187920093536
13,0,16,708.6330711841583,123.37158620357513
13,0,20,649.9872632324696,161.8284285068512
14,0,4,823.3402663469315,217.2776073217392
14,0,8,773.3184577524662,122.74264991283417
14,0,12,756.6700704395771,126.68511122465134
14,0,16,708.8819643855095,124.80029463768005
14,0,20,649.5292730629444,164.08116072416306
15,0,4,823.3956809341908,217.571422457695
15,0,8,773.1521584093571,123.94536435604095
15,0,12,757.24728256464,126.51939690113068
15,0,16,709.3527938425541,124.35585856437683
15,0,20,650.7931369543076,165.43000042438507
16,0,4,893.4437766671181,228.12767624855042
16,0,8,997.4854701757431,160.26754081249237
16,0,12,1033.8735672831535,146.86115086078644
16,0,16,1069.3295654654503,167.56754517555237
16,0,20,1109.555775821209,220.52173614501953
16,1,4,823.323036134243,218.4776097536087
16,1,8,773.0905187129974,124.9625876545906
16,1,12,758.6463202536106,125.84544122219086
16,1,16,708.6484116315842,125.24890303611755
16,1,20,651.2368983030319,166.68748706579208
17,0,4,892.3100286722183,226.04647874832153
17,0,8,995.8035790920258,160.23880392313004
17,0,12,1033.4427008032799,147.72458225488663
17,0,16,1070.3553745150566,168.9165100455284
17,0,20,1110.6699591875076,223.44075739383698
17,1,4,824.384583979845,218.02814602851868
17,1,8,772.6206341385841,126.62583291530609
17,1,12,757.6531374454498,126.0831281542778
17,1,16,708.3330987393856,126.38053148984909
17,1,20,652.2032353281975,168.1708738207817
18,0,4,890.9410604834557,224.6623307466507
18,0,8,995.8870622515678,159.56353396177292
18,0,12,1033.5135114192963,144.8760211467743
18,0,16,1070.9896686673164,169.64467465877533
18,0,20,1111.4924517273903,224.75677132606506
18,1,4,823.7775246798992,218.25950145721436
18,1,8,771.2848480045795,127.16549187898636
18,1,12,755.2805371582508,128.2143622636795
18,1,16,707.3329682648182,128.6002814769745
18,1,20,653.7793551385403,169.8829561471939
19,0,4,891.0089252889156,227.25017368793488
19,0,8,995.9498691558838,160.58781892061234
19,0,12,1033.44536870718,143.73625665903091
19,0,16,1070.4658702015877,170.04694938659668
19,0,20,1111.4566573500633,224.37387704849243
19,1,4,824.4394427537918,218.87283325195312
19,1,8,771.1715732514858,128.6542296409607
19,1,12,754.5896612107754,129.50115948915482
19,1,16,707.0297165215015,128.27319204807281
19,1,20,655.8774948120117,170.57770043611526
20,0,4,891.525164693594,226.54538452625275
20,0,8,996.5872758626938,160.4236587882042
20,0,12,1035.1503816246986,143.87078285217285
20,0,16,1070.8282604813576,170.58888226747513
20,0,20,1111.7759165167809,225.1317173242569
20,1,4,823.4170241653919,219.72922384738922
20,1,8,770.7990671694279,128.53326350450516
20,1,12,755.452339053154,128.3055067062378
20,1,16,707.102083414793,129.27000224590302
20,1,20,656.3539935648441,171.4144080877304
21,0,4,890.3757983446121,226.70850157737732
21,0,8,996.6076186299324,160.10003238916397
21,0,12,1035.1320397853851,143.40356588363647
21,0,16,1071.365398466587,171.06373459100723
21,0,20,1110.7613348960876,225.59371888637543
21,1,4,823.0942633748055,219.61811482906342
21,1,8,770.459298491478,128.82987409830093
21,1,12,755.7847154140472,129.172745347023
21,1,16,707.0977480709553,129.6511545777321
21,1,20,656.5245726704597,171.81109189987183
22,0,4,889.9986790120602,227.8557449579239
22,0,8,994.5852363109589,158.90919864177704
22,0,12,1035.783897638321,143.2788759469986
22,0,16,1070.9437584877014,171.1718812584877
22,0,20,1113.1455516815186,226.321142911911
22,1,4,823.6674736440182,219.470477104187
22,1,8,769.978297650814,129.80153560638428
22,1,12,753.964037746191,130.4357498884201
22,1,16,707.2235286235809,129.6901449561119
22,1,20,656.5978288650513,171.52462005615234
23,0,4,890.6036262214184,228.5305768251419
23,0,8,994.0108588337898,159.07951295375824
23,0,12,1039.8048734664917,142.3632487654686
23,0,16,1073.2928478717804,172.33855724334717
23,0,20,1116.9699919223785,227.19115614891052
23,1,4,823.9987383782864,219.29035782814026
23,1,8,770.3873762488365,130.36664575338364
23,1,12,755.129911750555,130.5223986506462
23,1,16,708.5052341222763,129.2065516114235
23,1,20,657.6528181135654,171.97633683681488
24,0,4,891.0517784953117,228.0569553375244
24,0,8,1000.5653429031372,160.23182570934296
24,0,12,1053.3841708302498,145.22162526845932
24,0,16,1083.5279276967049,168.84150207042694
24,0,20,1125.884570479393,229.2435646057129
24,1,4,822.8737722337246,219.96329128742218
24,1,8,770.255259424448,130.1232635974884
24,1,12,754.1788595914841,128.77783477306366
24,1,16,707.2405920922756,130.5550366640091
24,1,20,657.1636468172073,171.85949087142944
25,0,4,890.8378459513187,229.16162014007568
25,0,8,1002.5076881051064,160.22149920463562
25,0,12,1062.7970916032791,146.84782028198242
25,0,16,1094.1151708364487,170.90961933135986
25,0,20,1131.6804805397987,228.9526492357254
25,1,4,823.5119014978409,219.72154676914215
