frame_index,hand_index,fingertip_id,x,y
0,0,4,518.6795362830162,208.73581051826477
0,0,8,487.63458371162415,127.95969426631927
0,0,12,434.2387104034424,107.18253076076508
0,0,16,383.83672550320625,120.25244116783142
0,0,20,351.8763206154108,161.06845259666443
0,1,4,600.2728193998337,205.22984504699707
0,1,8,672.8130152821541,95.34633815288544
0,1,12,697.2058829665184,77.8667289018631
0,1,16,736.3559831678867,89.16778862476349
0,1,20,774.1926965117455,128.8659304380417
1,0,4,519.0622693300247,206.37304663658142
1,0,8,489.3319819867611,126.30259811878204
1,0,12,434.7132082283497,105.86793303489685
1,0,16,385.0029607862234,120.20942747592926
1,0,20,350.8765236288309,159.97764766216278
1,1,4,601.9372023642063,208.5921275615692
1,1,8,673.3997318148613,96.56311392784119
1,1,12,698.0640587210655,80.16707479953766
1,1,16,736.1775115132332,89.53964173793793
1,1,20,774.4134099781513,128.59820187091827
2,0,4,519.3201111257076,207.83188462257385
2,0,8,489.91697549819946,125.25574922561646
2,0,12,433.9222025126219,106.00545525550842
2,0,16,386.74510203301907,120.28266727924347
2,0,20,350.8913082629442,159.7552329301834
2,1,4,601.4116808772087,208.40829849243164
2,1,8,673.8074764609337,97.67838954925537
2,1,12,698.0521087348461,80.73354333639145
2,1,16,736.3983361423016,90.32111287117004
2,1,20,774.7622384130955,128.51097881793976
3,0,4,519.3280592560768,207.92267441749573
3,0,8,488.72898012399673,125.22015273571014
3,0,12,435.42945705354214,105.74463725090027
3,0,16,385.08661068975925,118.85082304477692
3,0,20,349.97474431991577,159.90747809410095
3,1,4,601.5749232470989,208.17485928535461
3,1,8,673.9527660608292,97.72551715373993
3,1,12,697.8883105516434,81.37579500675201
3,1,16,736.89328789711,91.05916500091553
3,1,20,775.3716877102852,129.15378272533417
4,0,4,518.916479498148,208.11819672584534
4,0,8,488.9797630906105,124.9258154630661
4,0,12,435.0901886075735,106.0135817527771
4,0,16,385.06587885320187,119.20935153961182
4,0,20,351.4936153590679,158.77321362495422
4,1,4,601.2149229645729,208.12660694122314
4,1,8,674.1479121148586,96.91571474075317
4,1,12,697.9337760806084,80.57530462741852
